react_id,kappmax_davidi_per_pp_per_s_ensemble_model,kappmax_davidi_per_pp_per_s_median_imputed,kappmax_KO_ALE_davidi_per_pp_per_s_ensemble_model,kappmax_KO_ALE_davidi_per_pp_per_s_median_imputed,kappmax_KO_ALE_per_pp_per_s_ensemble_model,kappmax_KO_ALE_per_pp_per_s_median_imputed,kcat_in_vitro_per_s_ensemble_model,kcat_in_vitro_per_s_median_imputed
AMALT3,9.13810140995487,6.2,8.1445963560195,4.2,2.54996445168152,3.2680205804032,7.85521918681811,16.616666665
AMALT4,9.13810140995487,6.2,8.1445963560195,4.2,2.54996445168152,3.2680205804032,7.85521918681811,16.616666665
AMANAPEr,6.16107991369823,6.2,13.4208419454982,4.2,4.24524088671671,3.2680205804032,10.24035882036,16.616666665
AMANAPEr_b,6.16107991369823,6.2,13.4208419454982,4.2,4.24524088671671,3.2680205804032,10.24035882036,16.616666665
AMANK,6.20109933365238,6.2,9.41371178700294,4.2,3.75266698035142,3.2680205804032,56,56
AMAOTr,0.001,0.001,0.001,0.001,0.000662464322880334,0.000662464322880334,0.013,0.013
AMAOTr_b,5.23790271686163,6.2,7.97479082251521,4.2,3.17083759020706,3.2680205804032,9.50091824863941,16.616666665
AMMQLT8,2.8463313183904,6.2,0.0133419286015386,0.0133419286015386,0.0133419286015386,0.0133419286015386,5.5243928836874,16.616666665
AMPMS2,0.007,0.007,0.007,0.007,1.5420605352726,3.2680205804032,5.47348448671381,16.616666665
AMPN,5.45234429125205,6.2,10.9966267301907,4.2,12.0073318959716,3.2680205804032,24.2573987400228,16.616666665
AMPNTAT,3.89948905990043,6.2,6.25521897159379,4.2,3.69353317090276,3.2680205804032,20.7067773214503,16.616666665
AMPTASECG,9.10400185181931,6.2,12.2318421292692,4.2,11.6858349596108,3.2680205804032,178.333,178.333
AMPTASEPG,9.10400185181931,6.2,12.2318421292692,4.2,11.6858349596108,3.2680205804032,19.7379286532981,16.616666665
ANHMK,5.22791137254151,6.2,10.2736379789841,4.2,3.53917151542076,3.2680205804032,10.4168767475034,16.616666665
ANPRT,5,5,5,5,3.17338205641757,3.17338205641757,74.9794666261647,16.616666665
ANS,13.2202256607375,6.2,17.2590808767831,4.2,3.65552348894893,3.2680205804032,3.7,3.7
AOXSr2,0.001,0.001,0.00177887784592734,0.00177887784592734,0.00177887784592734,0.00177887784592734,0.0940557965112013,16.616666665
AP4AH,8.29812563445666,6.2,15.8619296332902,4.2,12.8431715151557,3.2680205804032,12.7041009842323,16.616666665
AP4AS,6.2112067789237,6.2,9.73912172260244,4.2,2.65516505613878,3.2680205804032,3.4,3.4
AP5AH,13.4541483167737,6.2,22.6935382139956,4.2,11.1760401434188,3.2680205804032,9.55481433274051,16.616666665
APCS,3.96411996733868,6.2,4.26710833801534,4.2,2.50715111679092,3.2680205804032,7.27711381323027,16.616666665
APG3PAT120,6.00086004874777,6.2,9.87477281963863,4.2,4.89018458583912,3.2680205804032,27.8492070067722,16.616666665
APG3PAT140,6.00086004874777,6.2,9.87477281963863,4.2,4.89018458583912,3.2680205804032,27.8492070067722,16.616666665
APG3PAT141,6.00086004874777,6.2,9.87477281963863,4.2,4.89018458583912,3.2680205804032,27.8492070067722,16.616666665
APG3PAT160,5.08360483178036,6.2,7.13652466003536,4.2,4.54199226477574,3.2680205804032,26.0196297672537,16.616666665
APG3PAT161,3.65380142150171,6.2,6.33810777213502,4.2,4.1570601927502,3.2680205804032,24.2479121713744,16.616666665
APG3PAT180,6.00086004874777,6.2,9.87477281963863,4.2,4.89018458583912,3.2680205804032,27.8492070067722,16.616666665
